"tab_id";"tab_name"
1;"首页"
2;"酒店"
3;"旅游"
4;"跟团游"
5;"自由行"
6;"机票"
7;"火车"
8;"汽车票"
9;"用车"
10;"门票"
11;"攻略"
12;"全球购"
13;"礼品卡"
14;"商旅"
15;"目的地"
16;"更多"
